,Cód. Cliente,Dt. Operação,Cód. Corretora,Cód. Título,Chave,Quantidade,Valor Líquido,Preço,Preço Var
0,Cliente 1,2023-01-05,XPIN,XPBR31,4721A,4400,-355096.3338459722,81.50743199027842,75.24287051565045
0,Cliente 1,2023-01-05,XPIN,XPBR31,19007A,34900,-2702696.5618216163,80.53654949300767,54.27360023523383
0,Cliente 1,2023-01-19,XPIN,XPBR31,18899A,17000,-1577318.0773267725,91.64551888062269,41.269410429794426
0,Cliente 1,2023-02-16,XPIN,XPBR31,18902A,17200,-1483312.00463261,86.27982918098151,49.30868880029741
0,Cliente 1,2023-02-17,XPIN,XPBR31,7066A,3602,-256886.87198240505,69.83717077308475,14.907289611967204
7254,Cliente 1,2023-02-17,XPIN,XPBR31,9671A,268,-17883.55,66.72966417910447,
7259,Cliente 1,2023-02-17,XPIN,XPBR31,17458A,300,-22931.354596251003,76.43784865417001,
0,Cliente 1,2023-02-17,XPIN,XPBR31,18901A,368,-23886.860110014,63.381382639622245,22.421978535275024
0,Cliente 1,2023-02-17,XPIN,XPBR31,27915A,1330,-98675.80572423301,71.55118275705848,57.930753202535264
0,Cliente 1,2023-02-22,MODD,XPBR31,29891A,900,-65138.582139549326,71.35088171460666,6.812310349216262
0,Cliente 1,2023-02-22,MODD,XPBR31,35785A,562,-37265.44866615333,66.78069891333823,4.459568618327889
0,Cliente 1,2023-03-02,XPIN,XPBR31,9858A,14900,-965347.6699833432,65.08750828429542,30.879452200892665
0,Cliente 1,2023-03-02,XPIN,XPBR31,9859A,1900,-127035.99310411807,66.75457807213448,22.60515597411809
0,Cliente 1,2023-03-14,XPIN,XPBR31,9860A,13228,-777914.81,58.93472262770567,0.23918821781390862
0,Cliente 1,2023-03-14,XPIN,XPBR31,9861A,86772,-5136823.13,58.826202261328966,0.17698148001679528
0,Cliente 1,2023-03-30,XPIN,XPBR31,9862A,1000,-70319.3865654555,69.6553912205415,5.511122725843264
0,Cliente 1,2023-03-30,XPIN,XPBR31,9863A,19000,-1301506.139025081,67.95608566877408,30.866811806540092
0,Cliente 1,2023-04-13,XPIN,XPBR31,9864A,16800,-1267018.0964494725,75.31302271779693,42.285289872138634
0,Cliente 1,2023-05-10,PACC,BOVA11,5275A,55054,-5720419.652127654,104.27436406848504,3.9285008483296275
0,Cliente 1,2023-05-10,PACC,BOVA11,5276A,985,-115313.01728469865,113.64810706072723,79.26273866026065
0,Cliente 1,2023-05-11,XPIN,ITUB4,2398A,24866,-696087.840510134,28.221767537163426,5.188284976231899
0,Cliente 1,2023-05-25,PACC,BOVA11,5277A,22100,-2500234.4766103355,113.05634036088179,97.83181505496356
0,Cliente 1,2023-06-07,PACC,BOVA11,5279A,25600,-3089158.2260411796,120.36770759203239,96.76100925006376
0,Cliente 1,2023-06-07,XPIN,PNVL3,13804A,17700,-229738.04938342192,12.972154695173447,1.1341188905176829
0,Cliente 1,2023-06-07,XPIN,XPBR31,9868A,18200,-1911374.981909065,105.06483524460272,76.70985872458098
0,Cliente 1,2023-06-09,PACC,VALE3,13806A,67996,-4732615.924755281,69.78380931012529,13.484791171419849
0,Cliente 1,2023-06-12,PACC,BPAC11,31131A,17900,-568984.1656867119,31.566454142531253,7.140940012529647
0,Cliente 1,2023-06-12,PACC,BPAC11,31132A,2200,-67875.57917337536,31.367562017527153,7.143103354086717
0,Cliente 1,2023-06-14,PACC,BOVA11,5281A,6800,-877648.5620793357,128.92032032854442,62.885233380183266
0,Cliente 1,2023-06-14,PACC,BOVA11,5282A,8200,-976965.4169151345,119.95544440049783,117.96280297716746
0,Cliente 1,2023-06-16,XPIN,GOLL4,22433A,16100,-193902.08816647774,12.179162955462496,1.1078744155155076
0,Cliente 1,2023-12-21,STDE,MRVE3,4608A,20700,-233768.6938029876,11.234351799587758,1.051503110905472
0,Cliente 11,2023-05-10,PACC,BOVA11,40736A,7373,-775485.2779303833,108.53931661582072,112.16522519773032
90946,Cliente 11,2023-05-10,PACC,BOVA11,40737A,100,-9661.220134015974,96.61220134015973,
0,Cliente 11,2023-05-11,XPIN,ITUB4,2424A,815,-22064.18,27.126174661746617,0.0057943340761820675
0,Cliente 11,2023-05-11,XPIN,ITUB4,2425A,11100,-313839.98965302564,28.31173561560361,5.891149314173942
0,Cliente 11,2023-05-25,PACC,BOVA11,40738A,3100,-347760.85470233427,113.7156803480483,79.72754976096726
0,Cliente 11,2023-05-25,PACC,BOVA11,40739A,18800,-2095576.273714087,111.90326671902424,83.1116468572894
0,Cliente 11,2023-06-07,PACC,BOVA11,40740A,3700,-407992.03020805505,112.71475817390147,90.01507087572575
0,Cliente 11,2023-06-07,PACC,BOVA11,40741A,16900,-2004745.6520901306,119.62633719854763,94.9954466385138
0,Cliente 11,2023-06-07,XPIN,PNVL3,16882A,15800,-207781.42704725353,13.325145891446077,1.0442136078004849
0,Cliente 11,2023-06-07,XPIN,PNVL3,16883A,6300,-82976.26000032078,13.27966534953673,0.913320859810891
0,Cliente 11,2023-06-07,XPIN,XPBR31,14188A,6700,-698462.6072087514,106.05407290494236,76.85401491686876
0,Cliente 11,2023-06-07,XPIN,XPBR31,14189A,1900,-201410.07202844726,104.36495424516166,54.95528338148421
0,Cliente 11,2023-06-09,PACC,VALE3,16884A,8215,-567879.9807278196,68.99340086351312,0.8342191019626032
0,Cliente 11,2023-06-09,PACC,VALE3,16885A,13404,-985745.6056040874,73.92218289050463,33.63458465535096
0,Cliente 11,2023-06-12,PACC,BPAC11,17850A,2400,-76024.71898673149,31.128599723878438,6.024334486026724
0,Cliente 11,2023-06-12,PACC,BPAC11,17851A,21500,-682355.6381277863,31.724321815614065,7.186089145369688
0,Cliente 11,2023-06-14,PACC,BOVA11,40742A,900,-117845.81436876085,131.9225786883038,3.193272087151562
0,Cliente 11,2023-06-14,PACC,BOVA11,40743A,13100,-1639141.781027737,124.57557674532119,100.21287247474896
0,Cliente 11,2023-06-16,XPIN,GOLL4,22457A,8400,-101536.50979378949,12.090719381271796,1.0479743945059867
0,Cliente 11,2023-06-16,XPIN,GOLL4,22458A,15700,-185940.9888338268,11.855884505426243,0.8798274993205474
0,Cliente 11,2023-12-21,STDE,MRVE3,4626A,14700,-167638.23246504986,11.34759083103054,0.8773317351490646
0,Cliente 12,2023-01-02,ORAM,SMAL11,34397A,1900,-202531.96684171545,105.16949573914287,43.82521421247146
0,Cliente 12,2023-01-02,ORAM,SMAL11,44307A,1500,-147449.80842777257,100.11493465134173,109.76267880449785
0,Cliente 12,2023-01-03,XPIN,AESB3,28175A,1700,-17369.418007302666,10.386137148073335,1.8306154028351451
0,Cliente 12,2023-01-03,XPIN,AESB3,28875A,1000,-9525.785543044001,9.93747789398,1.1827583567484063
125873,Cliente 12,2023-01-03,XPIN,AESB3,42373A,200,-1839.7545219200001,9.1987726096,
0,Cliente 12,2023-01-03,XPIN,AMER3,26430A,2100,-18310.9243473408,8.719487784447999,0.2900225338297223
0,Cliente 12,2023-01-03,XPIN,AMER3,26591A,2800,-26415.2123511808,9.505350925653334,0.36880491397043597
0,Cliente 12,2023-01-03,XPIN,BBDC4,20304A,1600,-22078.38170146018,13.66127475121682,0.6068830102239566
0,Cliente 12,2023-01-03,XPIN,BBDC4,20990A,1300,-21378.640582230822,16.496359132648642,0.8878125094936313
126018,Cliente 12,2023-01-03,XPIN,BBDC4,26392A,800,-11961.285885602185,14.95160735700273,
